model,roc_auc,pr_auc,precision,recall,f1,threshold
XGBoost,0.7681855240510915,0.27797830959210934,0.5,0.18421052631578946,0.2692307692307692,0.78461092710495
Embedding MLP,0.8042621614276656,0.3747602509553149,0.46153846153846156,0.3157894736842105,0.375,0.9096807241439819
GraphSAGE,0.7469426578494428,0.330857514110594,0.5,0.2894736842105263,0.36666666666666664,0.5769569873809814
GNN + XGBoost,0.78754869100462,0.2824240119094743,0.4090909090909091,0.23684210526315788,0.3,0.8592117428779602
